[2018-09-04 01:31:36,449] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:36,452] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:36,452] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:36,452] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:36,452] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 01:31:36,452] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:36,454] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:36,454] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:36,455] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:36,455] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 01:31:38,150] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:38,150] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:38,150] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:38,150] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:38,150] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 01:31:38,150] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:38,151] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:38,151] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:38,152] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:38,152] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 01:31:40,102] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:40,102] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:40,102] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:40,102] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:40,102] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 01:31:40,102] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:40,103] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:40,103] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:40,103] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:40,103] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 01:31:42,036] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:42,036] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:42,036] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:42,036] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:42,037] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 01:31:42,037] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:42,037] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:42,037] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:42,038] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:42,038] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 01:31:44,179] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:44,179] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:44,179] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:44,179] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 01:31:44,179] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 01:31:44,179] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:44,186] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:44,186] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:44,188] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 01:31:44,188] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:52:47,718] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:47,718] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:47,718] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:47,718] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:47,718] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:52:47,718] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:47,720] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:47,720] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:47,721] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:47,721] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:52:48,043] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:48,043] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:48,043] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:48,043] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:48,043] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:52:48,043] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:48,044] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:48,044] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:48,045] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:48,045] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:52:50,394] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:50,394] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:50,394] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:50,394] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:50,394] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:52:50,394] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:50,396] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:50,396] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:50,397] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:50,397] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:52:52,047] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:52,048] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:52,048] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:52,048] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:52,048] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:52:52,048] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:52,049] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:52,049] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:52,050] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:52,050] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:52:54,109] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:54,109] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:54,109] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:54,109] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:52:54,109] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:52:54,109] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:54,110] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:54,110] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:54,111] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:54,111] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
